count,city,number_of_veterans,male_population,foreign_born,average_household_size,median_age,state,race,total_population,state_code,female_population
8791,Wichita,23978,192354,40270,2.56,34.6,Kansas,American Indian and Alaska Native,389955,KS,197601
22304,Allen,5691,60626,19652,2.67,33.5,Pennsylvania,Black or African-American,120207,PA,59581
8454,Danbury,3752,43435,25675,2.74,37.3,Connecticut,Black or African-American,84662,CT,41227
67526,Nashville,27942,314231,88193,2.39,34.1,Tennessee,Hispanic or Latino,654596,TN,340365
11013,Stamford,2269,64941,44003,2.7,35.4,Connecticut,Asian,128877,CT,63936
335559,San Juan,,155408,,,41.4,Puerto Rico,Hispanic or Latino,342237,PR,186829
108471,Provo,2177,56231,10925,3.2800000000000002,23.6,Utah,White,115258,UT,59027
4447,San Marcos,5189,45246,21558,3.13,35.4,California,Black or African-American,92934,CA,47688
3151,Escondido,8110,76551,46298,3.27,33.3,California,American Indian and Alaska Native,151458,CA,74907
76349,Caguas,,34743,,,40.4,Puerto Rico,Hispanic or Latino,77008,PR,42265
8654,Lancaster,7892,80668,17247,3.25,30.9,California,Asian,161113,CA,80445
13169,Gaithersburg,2126,32211,28133,2.73,35.7,Maryland,Asian,67445,MD,35234
24987,Lakewood,4094,41523,18274,3.13,39.9,California,Hispanic or Latino,81592,CA,40069
29822,Elizabeth,1131,65896,63413,3.18,34.2,New Jersey,Black or African-American,129012,NJ,63116
37593,Westminster,3435,45538,42227,3.27,42.9,California,White,92111,CA,46573
15578,Chico,4519,46168,8425,2.5,29.9,California,Hispanic or Latino,90336,CA,44168
246677,Lincoln,14694,138544,22958,2.4,32.3,Nebraska,White,277346,NE,138802
162245,Cincinnati,13699,143654,16896,2.08,32.7,Ohio,White,298537,OH,154883
14398,Escondido,8110,76551,46298,3.27,33.3,California,Asian,151458,CA,74907
21227,Pittsburgh,17728,149690,28187,2.13,32.9,Pennsylvania,Asian,304385,PA,154695
13253,Jacksonville,8252,40015,3732,2.51,24.2,North Carolina,Black or African-American,67363,NC,27348
46037,Kansas City,24710,228430,37787,2.35,35.9,Missouri,Hispanic or Latino,475361,MO,246931
9059,Spokane,18044,102756,13253,2.34,36.6,Washington,Asian,213267,WA,110511
296133,Fort Worth,39182,414126,143404,2.88,32.6,Texas,Hispanic or Latino,836969,TX,422843
4032,Auburn,5401,36837,14842,2.73,37.1,Washington,Black or African-American,76580,WA,39743
25366,Surprise,11109,62875,9929,2.9,39.4,Arizona,Hispanic or Latino,128442,AZ,65567
605,College Station,2471,54125,16145,2.52,22.9,Texas,American Indian and Alaska Native,107899,TX,53774
456451,Louisville/Jefferson County metro government,39364,298451,37875,2.45,37.5,Kentucky,White,615389,KY,316938
111763,Spring Valley,10644,96808,61072,2.79,37.0,Nevada,White,193955,NV,97147
28380,Paradise,14112,122784,66712,2.65,37.2,Nevada,Asian,236946,NV,114162
630,Bossier City,8108,33428,2980,2.4,32.7,Louisiana,American Indian and Alaska Native,68097,LA,34669
30352,Passaic,693,36505,24174,3.56,30.4,New Jersey,White,71082,NJ,34577
2248,Yakima,4705,45147,15717,2.74,34.0,Washington,Asian,93700,WA,48553
1602,Springfield,7525,55639,4264,2.22,38.8,Illinois,American Indian and Alaska Native,117809,IL,62170
4590,Virginia Beach,54995,222684,38360,2.61,35.4,Virginia,American Indian and Alaska Native,452745,VA,230061
41431,Bayonne,2225,32705,21899,2.62,39.7,New Jersey,White,66303,NJ,33598
8033,Columbia,6526,52202,23249,2.68,37.9,Maryland,Hispanic or Latino,103467,MD,51265
6620,Norman,5578,59483,8705,2.47,30.9,Oklahoma,Black or African-American,120297,OK,60814
398,Lakewood,4094,41523,18274,3.13,39.9,California,American Indian and Alaska Native,81592,CA,40069
308,Lorain,4905,30844,1531,2.52,35.6,Ohio,Asian,63651,OH,32807
34897,Alafaya,4176,39504,15842,2.94,33.5,Florida,Hispanic or Latino,85264,FL,45760
2396,Federal Way,7135,49151,18565,2.68,36.4,Washington,American Indian and Alaska Native,95188,WA,46037
8193,Cranston,4702,38365,10631,2.56,39.9,Rhode Island,Black or African-American,81077,RI,42712
2479,Palm Coast,7950,39489,9084,2.76,48.8,Florida,Asian,82121,FL,42632
8743,Clifton,2603,41932,27979,3.11,38.5,New Jersey,Black or African-American,86341,NJ,44409
523,Joliet,7353,70863,22409,3.13,33.1,Illinois,American Indian and Alaska Native,150025,IL,79162
535,Downey,2281,53006,39977,3.45,37.3,California,American Indian and Alaska Native,114211,CA,61205
113981,Grand Prairie,7073,90811,44888,3.18,33.1,Texas,White,187755,TX,96944
1376,Evansville,9063,57198,3169,2.25,38.0,Indiana,Asian,117679,IN,60481
119814,Cary,7426,78932,30008,2.61,39.9,North Carolina,White,160514,NC,81582
2052,Farmington Hills,3650,37527,18033,2.41,42.1,Michigan,Hispanic or Latino,81332,MI,43805
57837,Napa,4678,39828,18449,2.84,37.2,California,White,80429,CA,40601
964,Cicero,629,43153,33801,3.89,28.5,Illinois,American Indian and Alaska Native,83867,IL,40714
58008,Beaumont,7584,57326,10516,2.47,31.6,Texas,Black or African-American,118110,TX,60784
78737,Sparks,7315,47780,15690,2.63,36.1,Nevada,White,96098,NV,48318
585,Roswell,3325,48637,16501,2.7,38.8,Georgia,American Indian and Alaska Native,94496,GA,45859
130656,Boston,18350,322149,190123,2.38,31.8,Massachusetts,Hispanic or Latino,669469,MA,347320
97862,Irving,6207,117189,86756,2.7800000000000002,32.3,Texas,Hispanic or Latino,236617,TX,119428
32810,Tracy,3025,43156,25410,3.42,35.5,California,Hispanic or Latino,87093,CA,43937
558,Manchester,5473,54845,14506,2.4,37.3,New Hampshire,American Indian and Alaska Native,110223,NH,55378
3471,New Braunfels,5204,33071,5405,2.85,37.0,Texas,Black or African-American,69923,TX,36852
3347,Town 'n' Country,4534,39410,22135,2.61,38.1,Florida,Asian,78996,FL,39586
18816,Henderson,25045,139412,35666,2.55,42.5,Nevada,Black or African-American,285658,NV,146246
20185,Elk Grove,7762,80057,38693,3.34,36.1,California,Black or African-American,166890,CA,86833
48506,Chula Vista,12368,131485,82710,3.32,34.6,California,Asian,265754,CA,134269
2904,Waukesha,3116,36263,4982,2.35,35.8,Wisconsin,Asian,71976,WI,35713
95283,Salinas,4020,77765,58693,3.719999999999999,30.4,California,White,157386,CA,79621
1371,Racine,4650,39314,4403,2.56,33.7,Wisconsin,American Indian and Alaska Native,77737,WI,38423
97171,Springfield,5723,74744,16226,2.81,31.8,Massachusetts,White,154336,MA,79592
1251,Lee's Summit,6624,48353,3803,2.68,36.8,Missouri,American Indian and Alaska Native,95068,MO,46715
2200,Billings,9121,52705,3206,2.4,36.3,Montana,Black or African-American,110270,MT,57565
25320,Hammond,4144,38923,9224,2.61,36.0,Indiana,Hispanic or Latino,77610,IN,38687
76525,Pasadena,4618,67712,40779,2.63,37.6,California,White,142246,CA,74534
1029,Loveland,5667,37042,3050,2.5300000000000002,37.6,Colorado,American Indian and Alaska Native,75188,CO,38146
8277,Aurora,25158,177899,65816,2.8200000000000003,34.2,Colorado,American Indian and Alaska Native,358870,CO,180971
204913,Las Vegas,42397,310568,127609,2.79,37.5,Nevada,Hispanic or Latino,623769,NV,313201
2201,Newport News,18896,88385,12589,2.46,32.8,Virginia,American Indian and Alaska Native,182385,VA,94000
79319,Shreveport,14287,93138,5658,2.5300000000000002,35.2,Louisiana,White,196994,LA,103856
59424,Elk Grove,7762,80057,38693,3.34,36.1,California,Asian,166890,CA,86833
1840,Garden Grove,4316,86779,80677,3.66,37.8,California,Black or African-American,175384,CA,88605
2670,Allen,5691,60626,19652,2.67,33.5,Pennsylvania,Asian,120207,PA,59581
47446,Miami Beach,2265,48090,49908,2.1,42.5,Florida,Hispanic or Latino,92311,FL,44221
6631,Peoria,13019,80139,14260,2.969999999999999,36.9,Arizona,Asian,171242,AZ,91103
130346,Tempe,7058,91350,26620,2.44,28.8,Arizona,White,175826,AZ,84476
5516,Wilmington,3063,32680,3336,2.45,36.4,Delaware,Hispanic or Latino,71957,DE,39277
112743,Sterling Heights,6970,64985,34313,2.66,39.6,Michigan,White,132062,MI,67077
1149,Hialeah,1844,111530,170148,3.31,43.0,Florida,Asian,237082,FL,125552
42870,Gulfport,6646,33108,3072,2.54,35.1,Mississippi,White,71872,MS,38764
52603,Tuscaloosa,3647,47293,4706,2.67,29.1,Alabama,White,98338,AL,51045
4166,League City,6484,49354,8361,2.719999999999999,35.9,Texas,Black or African-American,98350,TX,48996
4623,Sioux Falls,8658,86596,12934,2.38,34.6,South Dakota,American Indian and Alaska Native,171530,SD,84934
1301,Goodyear,7650,36711,11774,2.969999999999999,38.6,Arizona,American Indian and Alaska Native,79003,AZ,42292
3274,Plymouth,4158,39035,8830,2.46,38.4,Minnesota,Hispanic or Latino,75928,MN,36893
272853,Bakersfield,12284,182154,71575,3.23,30.6,California,White,373627,CA,191473
107349,Fargo,6154,60560,9428,2.18,30.7,North Dakota,White,119250,ND,58690
36687,Weston,1507,32956,30876,3.34,38.6,Florida,Hispanic or Latino,69947,FL,36991
404868,Los Angeles,85417,1958998,1485425,2.86,35.0,California,Black or African-American,3971896,CA,2012898
9446,Mount Vernon,2064,31876,23777,2.85,38.5,New York,Hispanic or Latino,68621,NY,36745
15542,Denton,6352,62478,18451,2.66,28.7,Texas,Black or African-American,131047,TX,68569
89270,Wilmington,5908,52346,7401,2.24,35.5,North Carolina,White,115947,NC,63601
60500,Concord,4621,42732,8847,2.719999999999999,35.7,North Carolina,White,87693,NC,44961
76402,Newark,5829,138040,86253,2.73,34.6,New Jersey,White,281913,NJ,143873
1343,Peoria,6634,56229,7517,2.4,33.1,Illinois,American Indian and Alaska Native,118661,IL,62432
2583,O'Fallon,5783,41762,3269,2.77,36.0,Missouri,Hispanic or Latino,85032,MO,43270
70303,Hampton,19638,66214,6204,2.48,35.5,Virginia,Black or African-American,136454,VA,70240
33630,Lakewood,9988,76013,14169,2.29,37.7,Colorado,Hispanic or Latino,152589,CO,76576
16044,Mesa,31808,234998,57492,2.68,36.9,Arizona,American Indian and Alaska Native,471833,AZ,236835
11914,Bryan,3602,41761,12014,2.55,29.4,Texas,Black or African-American,82106,TX,40345
27217,Garland,10407,116406,62975,3.12,34.5,Texas,Asian,236836,TX,120430
3871,Springfield,7525,55639,4264,2.22,38.8,Illinois,Asian,117809,IL,62170
657,Flint,3757,48984,2138,2.38,35.3,Michigan,Asian,98297,MI,49313
30914,Tacoma,19040,100914,31863,2.48,37.7,Washington,Black or African-American,207950,WA,107036
69075,Waterbury,3493,52235,19967,2.71,36.2,Connecticut,White,108807,CT,56572
4328,Eagan,2699,31587,8642,2.49,36.8,Minnesota,Hispanic or Latino,66288,MN,34701
9851,Fort Smith,3408,43346,13177,2.44,34.9,Arkansas,Black or African-American,88195,AR,44849
55862,Carmichael,4225,29281,7378,2.39,41.0,California,White,63215,CA,33934
25522,Daly City,3782,53817,56640,3.26,39.7,California,White,106574,CA,52757
3557,Bryan,3602,41761,12014,2.55,29.4,Texas,American Indian and Alaska Native,82106,TX,40345
32944,Murrieta,7242,49363,19875,3.3,35.3,California,Hispanic or Latino,109816,CA,60453
4242,Brentwood,1492,31395,27058,4.98,34.2,New York,American Indian and Alaska Native,63792,NY,32397
351,Quincy,4147,44129,32935,2.39,41.0,Massachusetts,American Indian and Alaska Native,93629,MA,49500
1615,Boulder,4061,56342,12993,2.24,29.0,Colorado,Black or African-American,107342,CO,51000
492,Waterbury,3493,52235,19967,2.71,36.2,Connecticut,American Indian and Alaska Native,108807,CT,56572
54496,Evanston,2058,34146,15003,2.29,36.8,Illinois,White,75523,IL,41377
1175,Dothan,6334,32172,1699,2.59,38.9,Alabama,Asian,67536,AL,35364
3462,Antioch,5681,54733,24942,3.31,34.0,California,American Indian and Alaska Native,110542,CA,55809
2296,Madison,9707,122596,30090,2.23,30.7,Wisconsin,American Indian and Alaska Native,248956,WI,126360
26747,Victorville,7484,60989,21959,3.47,30.6,California,Black or African-American,122236,CA,61247
102522,Billings,9121,52705,3206,2.4,36.3,Montana,White,110270,MT,57565
1574,Sandy Springs,3015,48570,19837,2.4,35.4,Georgia,American Indian and Alaska Native,105347,GA,56777
610,Iowa City,2047,37089,9202,2.36,25.5,Iowa,American Indian and Alaska Native,74227,IA,37138
3249,Largo,8310,38166,10489,2.2800000000000002,45.1,Florida,Asian,81007,FL,42841
4033,Shreveport,14287,93138,5658,2.5300000000000002,35.2,Louisiana,Asian,196994,LA,103856
2429,Kalamazoo,3048,37175,3482,2.36,26.4,Michigan,Asian,76040,MI,38865
37151,Round Rock,6804,56646,18237,3.13,34.9,Texas,Hispanic or Latino,115839,TX,59193
20082,Richmond,3611,52615,42215,2.87,35.3,California,Asian,109715,CA,57100
8673,Columbia,4548,56544,10729,2.37,26.8,Missouri,Asian,119098,MO,62554
6832,Sandy,3451,46923,6691,3.22,34.6,Utah,Hispanic or Latino,93612,UT,46689
18191,Hoover,4819,38040,8229,2.58,38.5,Alabama,Black or African-American,84839,AL,46799
92216,Fullerton,5394,69549,43404,2.969999999999999,34.5,California,White,140849,CA,71300
23243,Dothan,6334,32172,1699,2.59,38.9,Alabama,Black or African-American,67536,AL,35364
9159,Rapid City,7429,36122,2375,2.31,39.5,South Dakota,American Indian and Alaska Native,73568,SD,37446
423,Newport Beach,4847,43161,15318,2.4,46.8,California,American Indian and Alaska Native,87131,CA,43970
97436,Columbus,21747,98785,10376,2.62,33.7,Georgia,White,200579,GA,101794
8706,Palm Coast,7950,39489,9084,2.76,48.8,Florida,Hispanic or Latino,82121,FL,42632
445,Albany,5409,31695,861,2.38,33.3,Georgia,American Indian and Alaska Native,71109,GA,39414
3091,Jurupa Valley,3833,49430,25338,3.87,33.8,California,Black or African-American,100314,CA,50884
30638,Providence,4933,89090,53532,2.719999999999999,29.9,Rhode Island,Black or African-American,179204,RI,90114
1343,Decatur,5291,34646,1224,2.23,40.4,Illinois,Asian,72856,IL,38210
11301,Scranton,5059,37975,8069,2.39,38.5,Pennsylvania,Hispanic or Latino,77112,PA,39137
2489,Anaheim,9796,179603,137133,3.45,33.6,California,American Indian and Alaska Native,350738,CA,171135
93072,Rochester,7288,100135,17735,2.36,31.4,New York,Black or African-American,209808,NY,109673
101254,Buffalo,11231,124537,24630,2.27,33.1,New York,Black or African-American,258066,NY,133529
104568,Richmond,12538,104793,15741,2.29,33.6,Virginia,White,220289,VA,115496
163096,Santa Ana,4735,167503,152999,4.58,30.8,California,White,335423,CA,167920
4210,Sunnyvale,3900,79480,71441,2.74,35.7,California,Black or African-American,151760,CA,72280
9068,Augusta-Richmond County consolidated government,19085,94662,7915,2.67,33.7,Georgia,Hispanic or Latino,196579,GA,101917
248149,Milwaukee,20615,286315,58321,2.51,31.6,Wisconsin,Black or African-American,600154,WI,313839
2302,Conroe,4871,34907,13839,2.65,31.5,Texas,Asian,68592,TX,33685
57690,Savannah,9717,69389,10355,2.5700000000000003,30.3,Georgia,White,145684,GA,76295
22273,German,2443,41115,27877,2.95,34.9,Maryland,Black or African-American,84122,MD,43007
38239,Costa Mesa,4095,59097,26645,2.59,34.8,California,Hispanic or Latino,113186,CA,54089
56251,New Haven,2567,63765,25871,2.48,29.9,Connecticut,White,130310,CT,66545
2827,Westland,4756,37742,6429,2.41,39.9,Michigan,Hispanic or Latino,81995,MI,44253
26788,Waldorf,6932,35640,5954,2.69,33.6,Maryland,White,75512,MD,39872
1243,Cedar Rapids,7823,63109,5404,2.32,36.2,Iowa,American Indian and Alaska Native,130405,IA,67296
22721,Troy,2975,42371,21004,2.59,43.3,Michigan,Asian,83276,MI,40905
6720,Kirkland,5156,42159,18570,2.3,40.8,Washington,Hispanic or Latino,87267,WA,45108
2013,Santa Barbara,4518,45068,19441,2.51,37.8,California,Black or African-American,91852,CA,46784
1482,Lake Forest,3748,41515,20784,2.76,40.3,California,American Indian and Alaska Native,82497,CA,40982
6815,Chino,4186,50989,18666,3.62,36.5,California,Black or African-American,85599,CA,34610
231025,Tucson,38182,264893,82220,2.45,33.6,Arizona,Hispanic or Latino,531674,AZ,266781
19480,Boise,16004,110099,13409,2.61,34.9,Idaho,Hispanic or Latino,218280,ID,108181
27883,Joliet,7353,70863,22409,3.13,33.1,Illinois,Black or African-American,150025,IL,79162
438,Metairie,7187,69515,19871,2.39,41.6,Louisiana,American Indian and Alaska Native,146458,LA,76943
11912,Moreno Valley,8529,98584,54442,3.9,30.7,California,Asian,204181,CA,105597
70873,Elizabeth,1131,65896,63413,3.18,34.2,New Jersey,White,129012,NJ,63116
2444,Wyoming,3447,35967,8612,2.65,32.8,Michigan,American Indian and Alaska Native,75277,MI,39310
6539,Norman,5578,59483,8705,2.47,30.9,Oklahoma,Asian,120297,OK,60814
30341,Frisco,6297,73989,30913,3.05,37.2,Texas,Asian,154388,TX,80399
11815,Waterloo,4800,34488,5082,2.42,37.2,Iowa,Black or African-American,68457,IA,33969
171599,Oakland,12159,203827,113896,2.56,35.7,California,White,419278,CA,215451
1282,Jonesboro,3682,35666,3222,2.44,32.6,Arkansas,Asian,73906,AR,38240
2777,Springfield,12291,81057,7765,2.12,34.1,Missouri,American Indian and Alaska Native,166798,MO,85741
73367,Mission,2383,40530,22608,3.51,32.9,Texas,Hispanic or Latino,83307,TX,42777
58677,Midland,5753,66595,17061,2.7800000000000002,32.1,Texas,Hispanic or Latino,132950,TX,66355
4168,Lansing,5327,54333,8371,2.39,31.4,Michigan,Asian,114110,MI,59777
56843,Springdale,3397,36840,19969,3.04,31.8,Arkansas,White,80454,AR,43614
16782,Bay,3478,37977,13192,2.59,32.9,Texas,Black or African-American,75485,TX,37508
9124,Apple Valley,5714,32873,5801,3.03,34.3,California,Black or African-American,72185,CA,39312
2528,Brockton,3036,46273,27313,2.88,35.2,Massachusetts,Asian,95314,MA,49041
45622,Poinciana,2933,38142,14349,3.93,34.2,Florida,White,73943,FL,35801
779,Davis,2176,33493,13997,2.69,26.3,California,American Indian and Alaska Native,67656,CA,34163
69209,Springfield,5723,74744,16226,2.81,31.8,Massachusetts,Hispanic or Latino,154336,MA,79592
265,Decatur,5291,34646,1224,2.23,40.4,Illinois,American Indian and Alaska Native,72856,IL,38210
2746,Saint Louis,17060,153026,21802,2.16,35.0,Missouri,American Indian and Alaska Native,315685,MO,162659
42092,Lehigh Acres,5551,57856,31880,3.55,34.3,Florida,Hispanic or Latino,119480,FL,61624
3036,Henderson,25045,139412,35666,2.55,42.5,Nevada,American Indian and Alaska Native,285658,NV,146246
6944,Framingham,2625,35442,19070,2.49,40.3,Massachusetts,Black or African-American,71210,MA,35768
4230,Waco,10716,63452,14235,2.5700000000000003,29.3,Texas,Asian,132342,TX,68890
7504,Fort Worth,39182,414126,143404,2.88,32.6,Texas,American Indian and Alaska Native,836969,TX,422843
2056,Bellingham,4703,41286,8713,2.44,30.7,Washington,American Indian and Alaska Native,85143,WA,43857
59683,Maple Grove,2943,31780,7645,2.64,38.6,Minnesota,White,68381,MN,36601
7192,Spokane,18044,102756,13253,2.34,36.6,Washington,American Indian and Alaska Native,213267,WA,110511
5906,Torrance,8459,73209,43096,2.7,41.2,California,Black or African-American,148468,CA,75259
11555,Scottsdale,16798,115712,27207,2.17,46.9,Arizona,Asian,236844,AZ,121132
949388,San Diego,92489,693826,373842,2.73,34.5,California,White,1394907,CA,701081
25058,Centreville,3779,34749,27797,2.969999999999999,36.0,Virginia,Asian,71782,VA,37033
396,Ellicott City,3856,34406,17587,2.73,42.4,Maryland,American Indian and Alaska Native,70932,MD,36526
240978,Urban Honolulu,23213,176807,101312,2.69,41.4,Hawaii,Asian,352766,HI,175959
1685,Maple Grove,2943,31780,7645,2.64,38.6,Minnesota,Hispanic or Latino,68381,MN,36601
13432,Providence,4933,89090,53532,2.719999999999999,29.9,Rhode Island,Asian,179204,RI,90114
669914,Phoenix,72388,786833,300702,2.89,33.8,Arizona,Hispanic or Latino,1563001,AZ,776168
10394,Independence,10220,54348,4911,2.33,38.6,Missouri,Black or African-American,117255,MO,62907
129192,McKinney,8082,77339,25760,2.91,35.6,Texas,White,162887,TX,85548
64806,Cranston,4702,38365,10631,2.56,39.9,Rhode Island,White,81077,RI,42712
151232,Peoria,13019,80139,14260,2.969999999999999,36.9,Arizona,White,171242,AZ,91103
14281,Fontana,4076,100644,61448,4.15,29.5,California,Asian,207472,CA,106828
4147,Nashua,5532,42926,12693,2.46,38.3,New Hampshire,Black or African-American,87975,NH,45049
63983,Rapid City,7429,36122,2375,2.31,39.5,South Dakota,White,73568,SD,37446
8656,Indianapolis,42186,410615,72456,2.5300000000000002,34.1,Indiana,American Indian and Alaska Native,848423,IN,437808
77242,Fall River,4143,43314,14775,2.21,39.3,Massachusetts,White,88770,MA,45456
97885,Providence,4933,89090,53532,2.719999999999999,29.9,Rhode Island,White,179204,RI,90114
2163,Yuba City,4706,33654,18032,2.9,34.5,California,American Indian and Alaska Native,66944,CA,33290
2733,Tuscaloosa,3647,47293,4706,2.67,29.1,Alabama,Asian,98338,AL,51045
73349,Pearland,5621,52336,16882,3.0,33.9,Texas,White,111665,TX,59329
1822,Palatine,2629,36506,21760,2.69,38.0,Illinois,Black or African-American,69269,IL,32763
1658,San Angelo,8412,49669,7859,2.5,32.8,Texas,Asian,100413,TX,50744
4046,Boise,16004,110099,13409,2.61,34.9,Idaho,American Indian and Alaska Native,218280,ID,108181
8840,Murfreesboro,5199,60704,8948,2.6,30.2,Tennessee,Hispanic or Latino,126121,TN,65417
3593,Napa,4678,39828,18449,2.84,37.2,California,Asian,80429,CA,40601
14636,Bk,4048,50405,32435,2.52,37.0,California,Asian,105314,CA,54909
543582,Jacksonville,75432,419203,85650,2.62,35.7,Florida,White,868031,FL,448828
9518,Olathe,6042,65046,11913,2.969999999999999,33.0,Kansas,Black or African-American,134316,KS,69270
6973,Redlands,3445,33993,8681,2.8200000000000003,36.2,California,Black or African-American,71028,CA,37035
7749,Franklin,3303,34991,6876,2.73,38.3,Tennessee,Black or African-American,72635,TN,37644
2954,Norwalk,2877,40880,22328,2.7,42.4,Connecticut,Asian,88483,CT,47603
1600,Nampa,4736,45651,6607,2.98,31.4,Idaho,Black or African-American,89850,ID,44199
219991,Hialeah,1844,111530,170148,3.31,43.0,Florida,White,237082,FL,125552
4296,San Clemente,3970,34076,8109,2.64,45.2,California,Asian,65532,CA,31456
25210,Wichita,23978,192354,40270,2.56,34.6,Kansas,Asian,389955,KS,197601
14873,Redwood City,2430,42676,27652,2.64,37.1,California,Asian,85300,CA,42624
9076,Gilbert,10817,116711,24531,3.2,33.2,Arizona,Black or African-American,247523,AZ,130812
1584,Cheektowaga,5408,37476,3532,2.3,40.7,New York,Asian,76075,NY,38599
4580,Santa Clara,4426,63278,52281,2.75,35.2,California,Black or African-American,126216,CA,62938
59958,Plano,11719,138565,74030,2.65,38.1,Texas,Asian,283619,TX,145054
2081,Davis,2176,33493,13997,2.69,26.3,California,Black or African-American,67656,CA,34163
9911,Merced,3723,40048,16348,3.15,29.7,California,Asian,82440,CA,42392
3182,Oshkosh,3809,32905,2348,2.3,33.0,Wisconsin,Asian,66557,WI,33652
148650,Salem,9685,80839,19668,2.69,35.4,Oregon,White,164543,OR,83704
15273,Arden-Arcade,6511,47596,13458,2.18,41.5,California,Hispanic or Latino,96276,CA,48680
140240,Pasadena,5735,78827,38072,2.95,31.5,Texas,White,153786,TX,74959
445,Livonia,5397,45369,7175,2.52,47.4,Michigan,American Indian and Alaska Native,94633,MI,49264
868,Lowell,3764,54422,33414,2.8,33.4,Massachusetts,American Indian and Alaska Native,110720,MA,56298
23937,Madison,9707,122596,30090,2.23,30.7,Wisconsin,Asian,248956,WI,126360
17010,Glen Burnie,5298,33398,6971,2.58,36.5,Maryland,Black or African-American,69859,MD,36461
4889,Hesperia,3739,43588,16667,3.52,29.4,California,Black or African-American,93286,CA,49698
2620,Ogden,5080,44323,12791,2.68,31.3,Utah,Black or African-American,85450,UT,41127
33176,Clifton,2603,41932,27979,3.11,38.5,New Jersey,Hispanic or Latino,86341,NJ,44409
5561,Plymouth,4158,39035,8830,2.46,38.4,Minnesota,Asian,75928,MN,36893
67817,Hemet,5613,38622,13330,2.969999999999999,36.8,California,White,83873,CA,45251
61249,Whittier,2790,44397,17145,3.11,36.1,California,Hispanic or Latino,87436,CA,43039
4691,Toms River,5042,43864,6852,2.71,43.7,New Jersey,Asian,87750,NJ,43886
301568,Charlotte,36046,396646,128897,2.52,34.3,North Carolina,Black or African-American,827121,NC,430475
23868,Dale City,6085,35984,22306,3.65,33.4,Virginia,Hispanic or Latino,71399,VA,35415
2047,Casas Adobes,6601,30890,7024,2.24,44.8,Arizona,American Indian and Alaska Native,65265,AZ,34375
66403,Phoenix,72388,786833,300702,2.89,33.8,Arizona,Asian,1563001,AZ,776168
7913,Fort Collins,8425,80893,9704,2.45,29.6,Colorado,Asian,161181,CO,80288
90391,Moreno Valley,8529,98584,54442,3.9,30.7,California,White,204181,CA,105597
5592,Urban Honolulu,23213,176807,101312,2.69,41.4,Hawaii,American Indian and Alaska Native,352766,HI,175959
1326,Yorba Linda,3171,31960,15532,3.0,45.5,California,Black or African-American,67966,CA,36006
664,Redwood City,2430,42676,27652,2.64,37.1,California,American Indian and Alaska Native,85300,CA,42624
46285,Hayward,4385,78152,60970,3.32,34.3,California,Asian,158300,CA,80148
30573,San Mateo,2730,50966,34957,2.64,39.3,California,Asian,103524,CA,52558
22651,Murfreesboro,5199,60704,8948,2.6,30.2,Tennessee,Black or African-American,126121,TN,65417
6054,Woodbury,2732,31982,9477,2.719999999999999,37.7,Minnesota,Black or African-American,67850,MN,35868
6713,Conroe,4871,34907,13839,2.65,31.5,Texas,Black or African-American,68592,TX,33685
4134,Dearborn,3163,46482,23920,3.04,33.5,Michigan,Asian,95180,MI,48698
90173,Ann Arbor,3614,58789,20717,2.17,28.1,Michigan,White,117070,MI,58281
9121,Cincinnati,13699,143654,16896,2.08,32.7,Ohio,Hispanic or Latino,298537,OH,154883
169155,Bayamón,,80128,,,39.4,Puerto Rico,Hispanic or Latino,170259,PR,90131
48980,East Los Angeles,1101,60460,49575,3.75,32.6,California,White,119666,CA,59206
30005,South Bend,3708,50483,8779,2.719999999999999,32.4,Indiana,Black or African-American,103757,IN,53274
41705,Hammond,4144,38923,9224,2.61,36.0,Indiana,White,77610,IN,38687
32938,Carson,4273,43790,33860,3.7,40.4,California,Hispanic or Latino,93296,CA,49506
47997,Davis,2176,33493,13997,2.69,26.3,California,White,67656,CA,34163
34240,Port Saint Lucie,12416,84069,34003,2.91,42.1,Florida,Hispanic or Latino,179410,FL,95341
5589,Bossier City,8108,33428,2980,2.4,32.7,Louisiana,Hispanic or Latino,68097,LA,34669
121196,Salinas,4020,77765,58693,3.719999999999999,30.4,California,Hispanic or Latino,157386,CA,79621
1939,Asheville,4973,42100,6630,2.18,37.9,North Carolina,Asian,88507,NC,46407
35072,Washington,25963,319705,95117,2.24,33.8,District of Columbia,Asian,672228,DC,352523
48746,Yuba City,4706,33654,18032,2.9,34.5,California,White,66944,CA,33290
54698,Temple,7333,33512,3968,2.59,33.6,Texas,White,72297,TX,38785
4561,Hampton,19638,66214,6204,2.48,35.5,Virginia,Asian,136454,VA,70240
1751,Napa,4678,39828,18449,2.84,37.2,California,American Indian and Alaska Native,80429,CA,40601
90923,New York,156961,4081698,3212500,2.68,36.0,New York,American Indian and Alaska Native,8550405,NY,4468707
10104,Overland Park,10461,93355,21407,2.41,38.2,Kansas,Hispanic or Latino,186511,KS,93156
316,Baldwin Park,780,38747,34322,4.13,35.8,California,American Indian and Alaska Native,77056,CA,38309
243,Union City,1440,38599,32752,3.46,38.5,California,American Indian and Alaska Native,74510,CA,35911
16501,Lakeland,7390,47840,11592,2.56,38.1,Florida,Hispanic or Latino,104410,FL,56570
